city,price_for_meter
Чехов,115936.57
Электросталь,118390.31
Коломна,115194.38
Долгопрудный,210442.5
Щёлково,141224.79
Подольск,149014.07
Реутов,221501.24
Домодедово,158246.91
Руза,107188.1
Егорьевск,88710.58
Ступино,131641.25
Шатура,90499.88
nan,nan
Москва,814045.38
Раменское,123192.25
Солнечногорск,134697.55
Одинцово,253196.23
Дмитров,113538.61
Люберцы,188919.01
Мытищи,192499.59
Балашиха,156610.36
Красногорск,234464.88
Наро-Фоминск,137304.86
Истра,160588.91
Химки,179192.23
Лосино-Петровский,111781.24
Ивантеевка,127415.95
Королёв,163686.77
Видное,185430.1
Котельники,188135.49
Жуковский,145723.56
Пушкино,162247.89
Звенигород,133179.13
Можайск,109513.07
Лобня,154263.71
Дзержинский,160838.71
Лыткарино,129392.17
Ногинск,106357.45
Волоколамск,88115.98
Сергиев Посад,141475.61
Серпухов,108455.6
Воскресенск,92242.67
Дубна,170711.19
Яхрома,110886.87
Клин,114485.74
Орехово-Зуево,114529.09
Кубинка,109320.53
Электроугли,111261.87
Талдом,36086.96
Бронницы,105353.25
Голицыно,616931.91
Кашира,82003.58
Красноармейск,187550.19
Краснознаменск,181443.93
Ликино-Дулёво,72356.03
Луховицы,103251.73
Пущино,110608.86
