total_meters,count
30.0,135
42.0,131
45.0,127
40.0,98
43.0,97
38.0,96
33.0,95
60.0,93
31.0,91
44.0,85
35.0,85
32.0,83
41.0,83
37.0,71
34.0,66
50.0,66
58.0,61
39.0,61
48.0,54
36.0,54
56.0,52
46.0,52
52.0,52
57.0,49
54.0,47
63.0,47
47.0,46
65.0,46
55.0,44
64.0,43
51.0,41
70.0,39
28.0,38
62.0,37
20.0,37
72.0,36
38.5,36
53.0,34
75.0,32
49.0,32
61.0,32
43.5,30
42.5,30
59.0,30
29.0,30
25.0,29
45.2,29
74.0,28
66.0,27
23.0,26
32.6,26
27.0,26
67.0,26
32.2,26
32.5,25
44.7,24
42.2,24
24.0,24
31.7,24
41.3,23
180.0,23
100.0,23
42.3,23
78.0,23
41.5,23
43.8,22
32.4,22
45.3,22
69.0,22
44.5,22
41.9,22
37.8,22
34.7,22
200.0,22
80.0,22
37.5,22
38.8,21
38.2,21
40.5,21
43.4,21
32.8,21
44.2,21
42.6,21
38.4,20
31.5,20
73.0,20
41.7,20
34.8,20
33.5,20
45.5,20
40.9,20
36.7,20
37.6,19
34.4,19
30.4,19
44.3,19
41.4,19
40.7,19
90.0,19
34.1,19
37.7,19
32.3,19
92.0,19
41.6,19
110.0,18
36.8,18
42.9,18
38.3,18
68.0,18
44.4,18
98.0,18
60.3,18
40.4,18
34.5,18
31.1,18
86.0,18
43.6,18
30.6,17
36.4,17
33.7,17
43.1,17
37.4,17
40.6,17
45.4,17
41.8,17
43.2,17
43.3,17
38.6,17
28.8,17
38.9,17
60.6,17
34.6,16
30.5,16
31.2,16
49.5,16
30.8,16
37.9,16
43.7,16
37.1,16
18.0,16
32.7,16
71.0,16
33.1,16
37.2,16
46.2,15
59.1,15
40.2,15
61.4,15
33.4,15
26.0,15
130.0,15
31.3,15
30.1,15
42.7,15
50.6,15
32.9,15
41.1,14
55.5,14
42.4,14
35.6,14
87.0,14
39.8,14
59.3,14
44.8,14
19.0,14
52.3,14
34.2,14
59.6,14
54.2,14
19.7,14
31.4,14
38.1,14
93.0,14
140.0,14
22.0,14
38.7,14
50.2,13
59.5,13
33.6,13
42.1,13
36.3,13
58.2,13
120.0,13
34.3,13
45.9,13
42.8,13
85.0,13
39.9,13
47.4,13
44.1,13
102.0,13
44.6,13
39.5,13
46.4,13
44.9,13
58.7,13
36.2,13
31.8,13
103.0,13
165.0,13
30.9,13
41.2,13
76.0,13
95.0,12
77.0,12
36.5,12
40.1,12
36.6,12
37.3,12
61.3,12
39.7,12
36.9,12
35.3,12
59.2,12
36.1,12
48.6,12
45.7,12
33.3,12
84.0,12
43.9,12
46.6,12
53.4,12
46.7,12
96.0,12
58.6,11
62.9,11
62.8,11
65.9,11
21.0,11
46.5,11
89.0,11
39.1,11
160.0,11
61.5,11
45.6,11
30.2,11
55.7,11
35.9,11
300.0,11
88.0,11
53.2,11
123.0,10
75.4,10
104.0,10
70.5,10
54.9,10
81.0,10
67.8,10
60.7,10
32.1,10
24.6,10
21.3,10
62.3,10
54.5,10
117.0,10
28.1,10
220.0,10
52.4,10
48.8,10
46.3,10
40.8,10
46.1,10
53.1,10
82.0,10
83.0,10
59.8,10
33.9,10
50.3,10
62.4,10
31.6,10
63.1,10
54.3,10
35.2,10
49.8,10
46.8,10
47.5,10
35.1,10
190.0,10
46.9,10
40.3,10
47.8,10
62.7,9
47.9,9
66.8,9
50.5,9
56.9,9
60.2,9
94.0,9
99.0,9
47.1,9
22.4,9
28.5,9
35.5,9
35.8,9
30.3,9
29.8,9
50.4,9
30.7,9
170.0,9
65.4,9
51.2,9
57.1,9
35.7,9
26.5,9
56.6,9
69.6,9
47.3,9
29.2,9
57.7,9
56.8,9
72.6,9
35.4,9
83.7,9
56.2,9
48.3,9
39.2,9
65.7,9
250.0,9
29.3,9
47.2,9
57.9,8
49.3,8
49.1,8
230.0,8
61.7,8
29.4,8
112.0,8
45.8,8
96.9,8
192.0,8
57.4,8
20.1,8
125.0,8
84.4,8
75.3,8
57.5,8
115.0,8
52.8,8
105.0,8
27.6,8
27.1,8
79.0,8
63.8,8
54.8,8
55.1,8
54.4,8
45.1,8
139.0,8
50.1,8
54.6,8
24.5,8
58.1,8
62.2,8
51.5,8
63.2,8
101.0,8
26.7,8
39.6,8
212.0,8
58.8,8
51.7,8
59.9,8
53.9,8
31.9,8
60.1,8
68.8,8
66.5,8
63.5,8
50.8,8
53.6,8
137.0,7
136.9,7
150.0,7
23.1,7
39.4,7
51.8,7
59.7,7
33.2,7
62.5,7
155.0,7
34.9,7
28.4,7
60.9,7
65.6,7
74.4,7
29.7,7
59.4,7
23.8,7
57.3,7
50.7,7
64.3,7
63.7,7
84.2,7
65.2,7
53.5,7
58.3,7
64.1,7
167.0,7
28.6,7
39.3,7
63.3,7
76.6,7
28.9,7
70.4,7
64.9,7
69.8,7
69.7,7
48.5,7
52.1,7
60.5,7
24.4,7
65.5,7
71.5,7
66.1,7
21.5,7
196.0,6
57.6,6
82.9,6
143.0,6
242.0,6
77.9,6
73.7,6
76.5,6
61.8,6
100.7,6
49.6,6
54.7,6
55.8,6
29.5,6
64.4,6
61.6,6
80.8,6
66.7,6
210.0,6
138.0,6
80.2,6
27.5,6
67.1,6
91.0,6
157.0,6
78.3,6
83.1,6
22.3,6
29.9,6
65.1,6
96.2,6
135.0,6
108.0,6
67.4,6
55.3,6
52.2,6
50.9,6
57.8,6
84.6,6
67.9,6
27.8,6
67.7,6
47.6,6
48.7,6
23.7,6
109.0,6
68.2,6
73.6,6
69.9,6
67.5,6
61.2,6
77.5,6
61.9,6
20.2,6
72.5,6
69.4,6
136.0,6
56.1,6
116.0,6
56.3,6
64.5,6
33.8,6
54.1,6
19.6,6
58.5,5
158.0,5
51.4,5
66.4,5
69.5,5
49.9,5
124.0,5
113.0,5
185.0,5
61.1,5
74.9,5
66.2,5
84.9,5
51.3,5
69.3,5
79.3,5
70.9,5
78.5,5
152.0,5
70.3,5
51.9,5
74.8,5
73.4,5
53.7,5
68.4,5
86.8,5
25.1,5
53.3,5
86.2,5
64.6,5
148.0,5
88.2,5
79.9,5
67.2,5
96.5,5
71.2,5
79.1,5
23.2,5
22.1,5
29.6,5
23.6,5
21.6,5
27.7,5
169.0,5
22.7,5
303.0,5
92.6,5
21.1,5
145.0,5
21.7,5
81.3,5
25.5,5
78.7,5
75.9,5
75.6,5
68.3,5
26.8,5
25.4,5
81.6,5
107.4,5
55.6,5
75.8,5
25.2,5
103.7,5
62.6,5
141.0,5
20.6,5
55.2,5
71.8,5
48.4,5
47.7,5
73.8,5
51.6,5
76.2,5
73.3,5
85.8,5
58.9,5
71.3,5
49.7,5
215.0,5
60.4,5
99.3,4
56.5,4
70.1,4
71.9,4
87.7,4
95.7,4
63.6,4
86.1,4
66.3,4
78.1,4
67.6,4
93.4,4
80.7,4
69.1,4
95.8,4
130.6,4
216.0,4
72.4,4
48.2,4
60.8,4
52.7,4
66.9,4
98.5,4
71.4,4
103.9,4
28.2,4
48.24,4
96.1,4
72.9,4
117.3,4
68.7,4
82.2,4
142.5,4
28.3,4
64.2,4
19.8,4
73.5,4
68.5,4
264.6,4
26.9,4
81.4,4
98.6,4
177.0,4
126.0,4
202.0,4
58.4,4
88.7,4
52.6,4
75.5,4
67.3,4
68.9,4
25.6,4
51.1,4
23.3,4
56.7,4
144.0,4
227.0,4
83.6,4
88.4,4
74.7,4
18.5,4
72.8,4
91.6,4
76.7,4
129.0,4
81.7,4
48.9,4
29.1,4
95.3,4
62.1,4
97.2,4
53.8,4
56.4,4
80.4,4
64.7,4
111.0,4
213.0,4
370.0,4
55.9,4
114.8,4
83.5,4
179.0,4
92.4,4
86.5,4
104.2,4
80.6,4
78.4,4
99.9,4
102.4,4
49.4,4
91.4,4
26.2,4
77.1,4
16.0,4
138.2,4
119.0,4
73.1,4
24.3,4
70.7,4
76.3,4
173.9,3
100.2,3
90.1,3
110.9,3
17.3,3
127.0,3
100.8,3
118.1,3
101.3,3
123.1,3
125.5,3
197.5,3
122.4,3
98.2,3
102.1,3
102.7,3
52.5,3
125.3,3
95.1,3
22.9,3
