author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/301911033/;Москва;sale;flat;18;20;4;127.0;74295000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;84 м²;6,4 м²;+74951387097;Басманный;;;Бауманская;Дом 56 ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва;sale;flat;80;85;4;294.6;412440000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/290979265/;Москва;sale;flat;6;8;4;207.0;450000000;2012;-1;-1;-1;-1;-1;-1;+79060434618;Арбат;Большой Афанасьевский переулок;28;Арбатская;Большой Афанасьевский пер, вл.24
VESPER;developer;https://www.cian.ru/sale/flat/306541543/;Москва;sale;flat;18;21;4;234.3;344593211;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;27,1 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679511/;Москва;sale;flat;11;20;4;90.71;32501393;2024;-1;-1;-1;-1;48,1 м²;8,2 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
МИЭЛЬ Офис Пречистенка;real_estate_agent;https://www.cian.ru/sale/flat/308706609/;Москва;sale;flat;9;16;4;113.4;115000000;1968;-1;-1;-1;-1;70,1 м²;10,7 м²;+79852069754;Пресненский;Большая Бронная ;2/6;Тверская;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259752/;Москва;sale;flat;23;42;4;82.9;37706298;2023;-1;Монолитный;-1;Без отделки, предчистовая;43,5 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308710833/;Москва;sale;flat;3;10;4;180.0;212000000;2024;-1;-1;-1;Чистовая;-1;25 м²;+79623610548;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308071697/;Москва;sale;flat;2;4;4;210.0;125970000;1990;-1;-1;-1;-1;-1;30 м²;+79660619967;Тверской;Петровский переулок;5С4;Пушкинская;
Главстрой;developer;https://www.cian.ru/sale/flat/296921048/;Москва;sale;flat;2;13;4;125.7;61745725;2024;-1;Монолитно-кирпичный;-1;Без отделки;56,6 м²;36,2 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Москва;sale;flat;28;37;4;177.3;215000000;2024;-1;-1;-1;-1;-1;20 м²;+79660272578;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Елена Подстрешная;realtor;https://www.cian.ru/sale/flat/308858083/;Москва;sale;flat;3;28;4;133.2;41500000;2021;-1;-1;-1;-1;80 м²;33 м²;+79165339960;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
VESPER;developer;https://www.cian.ru/sale/flat/308110878/;Москва;sale;flat;3;4;4;424.6;976580000;2027;-1;-1;-1;Чистовая с мебелью;-1;-1;+74951346294;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307770341/;Москва;sale;flat;9;18;4;176.6;98000000;2006;-1;-1;-1;-1;106 м²;19,3 м²;+79169574456;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307823693/;Москва;sale;flat;11;15;4;103.7;50000000;1953;-1;-1;-1;-1;-1;-1;+79651509137;Замоскворечье;Валовая ;6;Павелецкая;
MR Group;developer;https://www.cian.ru/sale/flat/306611693/;Москва;sale;flat;2;59;4;94.9;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;54,6 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Москва;sale;flat;21;23;4;244.1;78000000;2007;-1;-1;-1;-1;-1;-1;+79197672046;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/308563003/;Москва;sale;flat;9;19;4;140.7;67990000;2018;-1;-1;-1;-1;115,7 м²;20 м²;+79853573515;Хорошево-Мневники;Шелепихинская набережная;34к1зд4;Шелепиха;Сердце Столицы
MR Group;developer;https://www.cian.ru/sale/flat/300289409/;Москва;sale;flat;53;54;4;116.85;62364598;2025;-1;Монолитный;-1;Предчистовая, чистовая;52,4 м²;-1;+74951374843;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/288460497/;Москва;sale;flat;6;6;4;324.5;250000000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306604445/;Москва;sale;flat;6;7;4;160.0;99999000;1902;-1;-1;-1;-1;-1;22 м²;+79660513744;Тверской;Тверская ;27С2;Маяковская;
